Code-barres,Nom,Marque,Catégorie,Quantité,Prix d'achat,Prix de vente
26075587,"Thon sauce mayonnaise 135 g","Les Doris","Épicerie",1,,
26075570,"Thon Sauce Catalane 135","Les Doris","Épicerie",1,,
3700260700029,"Filet de Maquereau à la Moutarde 169 g","","Épicerie",1,,
26015064,"Salade Italienne au thon 280 g e","Aldi","Épicerie",1,,
8410599024073,"Atún en tomate","Pescamar","Légumes",1,,
5449000295989,"Minute Maid Multifruit 33 cl","Minute Maid","Boissons",1,,
3503780004215,"Jus de tomate 25 cl","Granini","Boissons",1,,
6111260550243,"Sardines in tomato sauce","Anny","Épicerie",1,,
5110817000249,"Océan Pilchards à la sauce tomate 425 g (280 g égoutté)","Number One","Épicerie",1,,
26022284,"Filets de Maquereaux sauce Tomate et Basilic 169 g","Aldi","Épicerie",1,,
2006050052141,"Piment de Cayenne moulu 40","Portland","Épicerie",1,,
4068706630415,"Olives vertes dénoyautées 320 g","Aldi","Épicerie",1,,
5449000214843,"Coca-Cola saveur cerise 33 cl","Coca-Cola","Boissons",1,,
3124480202116,"Ice Tea Saveur Citron Fraise","","Boissons",1,,
3124480186607,"Oasis Fraise Framboise 33 cl","Oasis","Boissons",1,,
3124480186584,"Oasis Pomme Cassis Framboise 33 cl","Oasis","Boissons",1,,
3124480195401,"Oasis ice tea saveur pêche 33 cl","Oasis","Boissons",1,,
3124480198471,"Oasis thé mangue passion","Oasis","Boissons",1,,
3168930159988,"ice tea saveur framboise 33 cl","Lipton","Boissons",1,,
3168930159896,"Ice Tea Pêche 33 cl","Lipton","Boissons",1,,
3287123301048,"Caraïbos Banane 33 cl","Caraibos","Boissons",1,,
3168930159834,"7UP Cherry 33 cl 330 ml","7up","Boissons",0,,
5449000284617,"Coca cola vanille 330ml","Coca-Cola","Boissons",1,,
3503780004123,"Pomme 0.25 l e","Granini","Boissons",1,,
3287123301086,"Ananas","Caraibos","Boissons",1,,
5449000247872,"Fanta mangue / fruit du dragon 330 ml","Fanta","Boissons",1,,
5449000214829,"Fanta citron 33cl 330 ml","Fanta","Boissons",1,,
5449000335906,"Fanta Orange 330 ml","Fanta","Boissons",1,,
5449000257796,"Minute Maid 330 ml","Minute Maid","Boissons",1,,
5449000340023,"Nectar d'orange 330 ml","Minute Maid","Boissons",1,,
5010438020353,"Vimto 330ml","Vimto","Boissons",1,,
3168930159773,"7UP saveur citron & citron vert 33 cl 330 ml","Seven Up","Boissons",1,,
3502110010674,"Lipton Ice Tea saveur framboise 500 ml","Lipton","Boissons",1,,
3228886043714,"Ice tea saveur pêche 500 ml","Lipton","Boissons",1,,
3124480177933,"Oasis (Pomme/Poire) 50 CL","Oasis","Boissons",1,,
3124480168818,"Oasis Pomme-Cassis-Framboise 50 cl","Oasis","Boissons",1,,
54492790,"Coca-Cola cherry 500 ml","Coca-Cola","Boissons",1,,
5449000286192,"Sprite Citron -  Citron Vert 500ml","Sprite","Boissons",1,,
5449000335951,"Fanta Orange 500 ml","Fanta","Boissons",1,,
762571500043,"Freez Citron Gingembre 275 ml","Freezmix","Boissons",1,,
54492493,"Citron 500ml","Fanta","Boissons",1,,
3503780004154,"Jus de Litchi 25 cl","Granini","Boissons",1,,
3503780004307,"Nectar orange 25 cl","Granini","Boissons",1,,
3503780004062,"Granini Fraise 0,25 l","Granini","Boissons",1,,
3254381048343,"CRISTALINE Eau de Source au jus de fruits FRAISE 50cl 500 ml","Cristaline","Boissons",1,,
3254381048350,"CRISTALINE Eau de Source au jus de fruits PECHE 50cl 500 ml","Cristaline","Boissons",1,,
8850389121023,"B’lue fraise","B'Lue","Boissons",1,,
9002490255176,"Red Bull - Green Edition - Goût fruit du dragon 250 ml","Red Bull","Boissons",1,,
2006050062881,"Préparation de jus de citron à base de concentré 200 ml","Dilecta","Épicerie",1,,
3439495113488,"Vinaigre d’alcool 1 l","Metro","Épicerie",1,,
7613036217675,"KUB OR 192 g","Maggi","Épicerie",1,,
26020013,"Sel de table fin 750 g","Riden","Épicerie",1,,
3439495004533,"Cornichons Au Vinaigre Extra-fins 350 g","Rochambeau","Épicerie",1,,
5060335632302,"Monster Energy 500 ml","Monster Energy","Boissons",1,,
9002490278281,"Red Bull Winter","Red Bull","Boissons",1,,
26020198,"Herbes de Provence 20 g [même code barre 26020198 que Persil, voir 2000000123909]","Portand","Épicerie",1,,
3124480186560,"33CL CAN SLIM TROPICAL","Oasis","Boissons",1,,
3124480186850,"SCHWEPPES can 33 cl","Schweppes","Boissons",1,,
3503780004437,"Granini pineapple imp 25 cl","Granini","Boissons",1,,
5449000214911,"Coca-Cola 330ml","Coca-Cola","Boissons",1,,
3124480190406,"Orangina rouge 33 cl","Orangina","Boissons",1,,
5410221305085,"Schweppes Agrumes 33 cl","Orangina Schweppes","Boissons",1,,
5410221305160,"Schweppes Lemon🍋 33 cl","Schweppes","Boissons",1,,
